,date,state,cases,deaths
22115,2020-03-31,Georgia,1,0
22116,2020-03-31,Georgia,2,0
22117,2020-03-31,Georgia,7,0
22118,2020-03-31,Georgia,2,0
22119,2020-03-31,Georgia,8,0
22120,2020-03-31,Georgia,8,0
22121,2020-03-31,Georgia,9,0
22122,2020-03-31,Georgia,4,0
22123,2020-03-31,Georgia,1,0
22124,2020-03-31,Georgia,123,1
22125,2020-03-31,Georgia,4,0
22126,2020-03-31,Georgia,1,0
22127,2020-03-31,Georgia,32,2
22128,2020-03-31,Georgia,1,0
22129,2020-03-31,Georgia,3,0
22130,2020-03-31,Georgia,78,3
22131,2020-03-31,Georgia,51,5
22132,2020-03-31,Georgia,5,0
22133,2020-03-31,Georgia,112,3
22134,2020-03-31,Georgia,1,0
22135,2020-03-31,Georgia,287,13
22136,2020-03-31,Georgia,11,0
22137,2020-03-31,Georgia,20,1
22138,2020-03-31,Georgia,24,0
22139,2020-03-31,Georgia,1,0
22140,2020-03-31,Georgia,41,2
22141,2020-03-31,Georgia,16,0
22142,2020-03-31,Georgia,1,0
22143,2020-03-31,Georgia,10,0
22144,2020-03-31,Georgia,360,4
22145,2020-03-31,Georgia,8,0
22146,2020-03-31,Georgia,2,0
22147,2020-03-31,Georgia,8,0
22148,2020-03-31,Georgia,466,26
22149,2020-03-31,Georgia,51,1
22150,2020-03-31,Georgia,32,1
22151,2020-03-31,Georgia,5,0
22152,2020-03-31,Georgia,1,0
22153,2020-03-31,Georgia,4,0
22154,2020-03-31,Georgia,48,4
22155,2020-03-31,Georgia,50,2
22156,2020-03-31,Georgia,47,1
22157,2020-03-31,Georgia,4,0
22158,2020-03-31,Georgia,599,18
22159,2020-03-31,Georgia,1,0
22160,2020-03-31,Georgia,17,0
22161,2020-03-31,Georgia,16,1
22162,2020-03-31,Georgia,1,0
22163,2020-03-31,Georgia,7,0
22164,2020-03-31,Georgia,242,2
22165,2020-03-31,Georgia,2,0
22166,2020-03-31,Georgia,67,0
22167,2020-03-31,Georgia,5,0
22168,2020-03-31,Georgia,3,0
22169,2020-03-31,Georgia,4,0
22170,2020-03-31,Georgia,1,1
22171,2020-03-31,Georgia,86,2
22172,2020-03-31,Georgia,30,3
22173,2020-03-31,Georgia,3,0
22174,2020-03-31,Georgia,8,0
22175,2020-03-31,Georgia,2,0
22176,2020-03-31,Georgia,1,0
22177,2020-03-31,Georgia,2,0
22178,2020-03-31,Georgia,1,0
22179,2020-03-31,Georgia,1,0
22180,2020-03-31,Georgia,3,0
22181,2020-03-31,Georgia,3,0
22182,2020-03-31,Georgia,13,0
22183,2020-03-31,Georgia,90,7
22184,2020-03-31,Georgia,5,0
22185,2020-03-31,Georgia,4,0
22186,2020-03-31,Georgia,1,0
22187,2020-03-31,Georgia,23,1
22188,2020-03-31,Georgia,7,0
22189,2020-03-31,Georgia,2,0
22190,2020-03-31,Georgia,3,1
22191,2020-03-31,Georgia,3,0
22192,2020-03-31,Georgia,1,0
22193,2020-03-31,Georgia,6,0
22194,2020-03-31,Georgia,4,0
22195,2020-03-31,Georgia,34,1
22196,2020-03-31,Georgia,5,0
22197,2020-03-31,Georgia,2,0
22198,2020-03-31,Georgia,5,0
22199,2020-03-31,Georgia,19,0
22200,2020-03-31,Georgia,31,0
22201,2020-03-31,Georgia,16,0
22202,2020-03-31,Georgia,1,0
22203,2020-03-31,Georgia,31,0
22204,2020-03-31,Georgia,7,1
22205,2020-03-31,Georgia,7,1
22206,2020-03-31,Georgia,3,0
22207,2020-03-31,Georgia,2,0
22208,2020-03-31,Georgia,15,0
22209,2020-03-31,Georgia,3,0
22210,2020-03-31,Georgia,2,0
22211,2020-03-31,Georgia,5,0
22212,2020-03-31,Georgia,40,0
22213,2020-03-31,Georgia,45,2
22214,2020-03-31,Georgia,4,0
22215,2020-03-31,Georgia,1,0
22216,2020-03-31,Georgia,6,0
22217,2020-03-31,Georgia,15,0
22218,2020-03-31,Georgia,4,0
22219,2020-03-31,Georgia,1,0
22220,2020-03-31,Georgia,35,2
